Nume Miner,ID Miner Rezultat,Nivel Final,Putere Rezultat (GH/s),Bonus Rezultat %,Cost RLT/RST,XP Reward,Timp Craft (Secunde),Poate fi vândut,Miner Sursa 1 Nume,Miner Sursa 1 ID,Miner Sursa 1 Cantitate,Miner Sursa 1 Nivel,Miner Sursa 1 Putere (GH/s),Miner Sursa 1 Bonus %,Piesa 1 Nume,Piesa 1 ID,Piesa 1 Cantitate,Piesa 1 Nivel,Miner Sursa 2 Nume,Miner Sursa 2 ID,Miner Sursa 2 Cantitate,Miner Sursa 2 Nivel,Miner Sursa 2 Putere (GH/s),Miner Sursa 2 Bonus %,Piesa 2 Nume,Piesa 2 ID,Piesa 2 Cantitate,Piesa 2 Nivel,Piesa 3 Nume,Piesa 3 ID,Piesa 3 Cantitate,Piesa 3 Nivel
8bubbled,631f7b0a8238ed283a234e02,5,20567505.0,4.0,11.0,2057,0,True,8bubbled,631f7b098238ed283a234df5,2,4,7835205.0,2.67,Wire,6196281467433d2dc53872b3,1,4,,,,,,,,,,,,,,
8bubbled,631f7b078238ed283a234ddb,2,1137045.0,1.71,0.58,114,0,True,8bubbled,631f7b068238ed283a234dce,2,1,433125.0,0.57,Wire,6319f81fa8ce530569eee9dd,36,1,,,,,,,,,,,,,,
8bubbled,631f7b098238ed283a234df5,4,7835205.0,2.67,7.0,784,0,True,8bubbled,631f7b088238ed283a234de8,2,3,2984835.0,2.13,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Abstract Coil,697c7b7ea2774cefbbccaefd,1,8000000.0,14.0,1.4,800,0,False,Abstract Coil,697c7b7ea2774cefbbccaefa,2,0,3000000.0,9.0,Hashboard,61b3606767433d2dc58913a9,3800,0,,,,,,,,,,,,,,
Abyssal Lord,67a3e83d79efd774f15e2893,5,2400000000.0,41.0,760.0,240000,0,True,Abyssal Lord,67a3e83d79efd774f15e288d,2,4,912000000.0,32.0,Hashboard,6196289f67433d2dc53c0c5d,37,4,,,,,,,,,,,,,,
Abyssal Lord,67a3e83d79efd774f15e287b,1,50400000.0,10.0,16.0,5040,0,True,Abyssal Lord,67a3e83d79efd774f15e2878,2,0,19200000.0,7.0,Hashboard,61b3606767433d2dc58913a9,45800,0,,,,,,,,,,,,,,
Acropolis,631f79d48238ed283a233fb0,3,904680.0,0.58,0.74,91,0,True,Acropolis,631f79d38238ed283a233fa3,2,2,344610.0,0.55,Hashboard,61b35e3767433d2dc57f86a2,2,2,,,,,,,,,,,,,,
Acropolis,631f79d68238ed283a233fca,5,6233850.0,0.64,10.0,624,0,True,Acropolis,631f79d58238ed283a233fbd,2,4,2374785.0,0.61,Fan,6196269b67433d2dc52e0130,4,4,,,,,,,,,,,,,,
Acropolis,631f79d28238ed283a233f96,1,131250.0,0.53,0.07,14,0,True,Acropolis,62444e1b42a0cd1b7d7ae198,2,0,50000.0,0.5,Hashboard,61b3606767433d2dc58913a9,200,0,,,,,,,,,,,,,,
Acropolis,631f79d38238ed283a233fa3,2,344610.0,0.55,0.18,35,0,True,Acropolis,631f79d28238ed283a233f96,2,1,131250.0,0.53,Hashboard,6319f840a8ce530569ef82b7,11,1,,,,,,,,,,,,,,
Aegis of Ultramar,66df0555e0dd3530da812236,2,840000.0,2.4,0.32,84,0,False,Aegis of Ultramar,66df0555e0dd3530da812230,2,1,320000.0,1.0,Wire,6319f81fa8ce530569eee9dd,19,1,,,,,,,,,,,,,,
Afterparty,631f7a758238ed283a23471a,4,5935860.0,1.22,7.0,594,0,True,Afterparty,631f7a748238ed283a23470d,2,3,2261280.0,1.16,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Afterparty,631f7a748238ed283a23470d,3,2261280.0,1.16,1.17,227,0,True,Afterparty,631f7a738238ed283a234700,2,2,861420.0,1.1,Wire,61b35dcd67433d2dc57daca3,3,2,,,,,,,,,,,,,,
AI-miner,631f79f98238ed283a23416a,2,1378125.0,2.21,0.71,138,0,True,AI-miner,631f79f88238ed283a23415d,2,1,525000.0,2.1,Fan,6319f7baa8ce530569ed16b9,44,1,,,,,,,,,,,,,,
AI-miner,631f79fd8238ed283a234191,5,24928155.0,2.55,13.0,2493,0,True,AI-miner,631f79fc8238ed283a234184,2,4,9496410.0,2.43,Fan,6196269b67433d2dc52e0130,5,4,,,,,,,,,,,,,,
AI-miner,631f79f88238ed283a23415d,1,525000.0,2.1,0.27,53,0,True,AI-miner,62447dbe42a0cd1b7d3350b0,2,0,200000.0,2.0,Fan,61b35fea67433d2dc586f7fe,800,0,,,,,,,,,,,,,,
AI-miner,631f79fc8238ed283a234184,4,9496410.0,2.43,7.0,950,0,True,AI-miner,631f79fa8238ed283a234177,2,3,3617670.0,2.32,Fan,6319f918a8ce530569f33dd5,2,3,,,,,,,,,,,,,,
Air Evo,68e61a439f36c49e72db56c5,3,275000000.0,50.0,4.5,27500,0,True,Air Evo,68e61a439f36c49e72db56bf,2,2,100000000.0,25.0,Fan,61b35dac67433d2dc57d1156,12,2,,,,,,,,,,,,,,
Air Mattress,631f7a798238ed283a23474e,3,3617670.0,1.16,1.86,362,0,True,Air Mattress,631f7a788238ed283a234741,2,2,1378125.0,1.1,Hashboard,61b35e3767433d2dc57f86a2,5,2,,,,,,,,,,,,,,
Air Mattress,631f7a788238ed283a234741,2,1378125.0,1.1,0.71,138,0,True,Air Mattress,631f7a778238ed283a234734,2,1,525000.0,1.05,Hashboard,6319f840a8ce530569ef82b7,43,1,,,,,,,,,,,,,,
Air Mattress,631f7a778238ed283a234734,1,525000.0,1.05,0.27,53,0,True,Air Mattress,629622eb530f48a8e7a52283,2,0,200000.0,1.0,Hashboard,61b3606767433d2dc58913a9,800,0,,,,,,,,,,,,,,
Air Mattress,631f7a7a8238ed283a23475b,4,9496410.0,1.22,7.0,950,0,True,Air Mattress,631f7a798238ed283a23474e,2,3,3617670.0,1.16,Hashboard,6319fc56a8ce530569024d79,2,3,,,,,,,,,,,,,,
Air Mattress,631f7a7c8238ed283a234768,5,24928155.0,1.28,13.0,2493,0,True,Air Mattress,631f7a7a8238ed283a23475b,2,4,9496410.0,1.22,Fan,6196269b67433d2dc52e0130,5,4,,,,,,,,,,,,,,
Algo Dream,69033779ac102af307b87033,3,15000000.0,12.0,2.27,1500,0,False,Algo Dream,69033779ac102af307b8702d,2,2,5500000.0,5.0,Wire,61b35dcd67433d2dc57daca3,7,2,,,,,,,,,,,,,,
Algo Dream,69033779ac102af307b87027,1,2100000.0,2.0,0.26,210,0,False,Algo Dream,69033779ac102af307b87024,2,0,800000.0,0.5,Wire,61b3604967433d2dc58893b0,800,0,,,,,,,,,,,,,,
ALGO Vein,693a7ed1b13b27427ba6e979,2,10500000.0,9.5,1.1,1050,0,False,ALGO Vein,693a7ed1b13b27427ba6e971,2,1,4000000.0,4.5,Hashboard,6319f840a8ce530569ef82b7,67,1,,,,,,,,,,,,,,
ALGO Vein,693a7ed2b13b27427ba6e991,5,500000000.0,65.0,21.0,50000,0,False,ALGO Vein,693a7ed1b13b27427ba6e989,2,4,75000000.0,28.0,Hashboard,6196289f67433d2dc53c0c5d,1,4,,,,,,,,,,,,,,
ALGO Vein,693a7ed1b13b27427ba6e971,1,4000000.0,4.5,0.24,400,0,False,ALGO Vein,693a7de5b13b27427ba6e681,2,0,1500000.0,1.5,Hashboard,61b3606767433d2dc58913a9,700,0,,,,,,,,,,,,,,
Almost Switch,63c013408606868c5f3478c0,1,1527855.0,3.12,0.51,153,0,True,Almost Switch,63bffdd0d2e89bab14ff95bc,2,0,582023.0,2.0,Wire,61b3604967433d2dc58893b0,1500,0,,,,,,,,,,,,,,
Almost Switch,63c013428606868c5f3478de,3,10528140.0,6.13,3.5,1053,0,True,Almost Switch,63c013418606868c5f3478d0,2,2,4010685.0,4.91,Wire,61b35dcd67433d2dc57daca3,10,2,,,,,,,,,,,,,,
Almost Switch,63c013418606868c5f3478d0,2,4010685.0,4.91,1.33,402,0,True,Almost Switch,63c013408606868c5f3478c0,2,1,1527855.0,3.12,Wire,6319f81fa8ce530569eee9dd,85,1,,,,,,,,,,,,,,
Almost Switch,63c013438606868c5f3478ec,4,27636420.0,7.67,10.0,2764,0,True,Almost Switch,63c013428606868c5f3478de,2,3,10528140.0,6.13,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Almost-Zero,657305c05d9e34da773e3409,1,109200.0,0.4,0.06,11,0,False,Almost-Zero,657305c05d9e34da773e3406,2,0,41600.0,0.0,Hashboard,61b3606767433d2dc58913a9,180,0,,,,,,,,,,,,,,
Almost-Zero,657305c05d9e34da773e3429,5,5185635.0,4.38,10.0,519,0,False,Almost-Zero,657305c05d9e34da773e3421,2,4,1975470.0,2.84,Fan,6196269b67433d2dc52e0130,4,4,,,,,,,,,,,,,,
Almost-Zero,657305c05d9e34da773e3419,3,752535.0,1.74,0.74,76,0,False,Almost-Zero,657305c05d9e34da773e3411,2,2,286650.0,0.96,Hashboard,61b35e3767433d2dc57f86a2,2,2,,,,,,,,,,,,,,
Almost-Zero,657305c05d9e34da773e3421,4,1975470.0,2.84,7.0,198,0,False,Almost-Zero,657305c05d9e34da773e3419,2,3,752535.0,1.74,Hashboard,6319fc56a8ce530569024d79,2,3,,,,,,,,,,,,,,
American Empire,65cb5277dc319c3e46642234,3,3093090.0,1.74,1.58,310,0,False,American Empire,65cb5277dc319c3e4664222c,2,2,1178310.0,0.96,Wire,61b35dcd67433d2dc57daca3,5,2,,,,,,,,,,,,,,
American Empire,65cb5277dc319c3e46642244,5,21313530.0,4.38,11.0,2132,0,False,American Empire,65cb5277dc319c3e4664223c,2,4,8119440.0,2.84,Wire,6196281467433d2dc53872b3,1,4,,,,,,,,,,,,,,
American Empire,65cb5277dc319c3e4664223c,4,8119440.0,2.84,7.0,812,0,False,American Empire,65cb5277dc319c3e46642234,2,3,3093090.0,1.74,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
American Empire,65cb5277dc319c3e4664222c,2,1178310.0,0.96,0.6,118,0,False,American Empire,65cb5277dc319c3e46642224,2,1,448875.0,0.4,Wire,6319f81fa8ce530569eee9dd,37,1,,,,,,,,,,,,,,
Americana 1-777,649d8d59636060de746abbae,5,4114005.0,1.8,10.0,412,0,True,Americana 1-777,649d8d57636060de746abba0,2,4,1567230.0,1.3,Fan,6196269b67433d2dc52e0130,4,4,,,,,,,,,,,,,,
Americana 1-777,649d8d57636060de746abb92,3,597030.0,0.61,0.74,60,0,True,Americana 1-777,649d8d56636060de746abb84,2,2,227430.0,0.25,Fan,61b35dac67433d2dc57d1156,2,2,,,,,,,,,,,,,,
Americana 1-777,649d8d56636060de746abb84,2,227430.0,0.25,0.13,23,0,True,Americana 1-777,649d8d55636060de746abb74,2,1,86625.0,0.1,Fan,6319f7baa8ce530569ed16b9,8,1,,,,,,,,,,,,,,
Americana 1-777,649d8d57636060de746abba0,4,1567230.0,1.3,7.0,157,0,True,Americana 1-777,649d8d57636060de746abb92,2,3,597030.0,0.61,Fan,6319f918a8ce530569f33dd5,2,3,,,,,,,,,,,,,,
AmericanSpirit,6657563594f3f3541c8cac1e,3,53359425.0,11.27,27.5,5336,0,False,AmericanSpirit,6657563594f3f3541c8cac18,2,2,20327370.0,7.25,Wire,61b35dcd67433d2dc57daca3,85,2,,,,,,,,,,,,,,
Ancient,631f78708238ed283a232f49,5,62320230.0,7.66,32.0,6233,0,True,Ancient,631f786f8238ed283a232f3c,2,4,23741025.0,7.29,Fan,6196269b67433d2dc52e0130,12,4,,,,,,,,,,,,,,
Ancient,631f786c8238ed283a232f15,1,1312500.0,6.3,0.67,132,0,True,Ancient,61532146db5008102f9f77e9,2,0,500000.0,6.0,Fan,61b35fea67433d2dc586f7fe,2000,0,,,,,,,,,,,,,,
Ancient,631f786e8238ed283a232f2f,3,9044175.0,6.95,5.0,905,0,True,Ancient,631f786d8238ed283a232f22,2,2,3445365.0,6.62,Fan,61b35dac67433d2dc57d1156,13,2,,,,,,,,,,,,,,
Ancient,631f786d8238ed283a232f22,2,3445365.0,6.62,1.76,345,0,True,Ancient,631f786c8238ed283a232f15,2,1,1312500.0,6.3,Fan,6319f7baa8ce530569ed16b9,110,1,,,,,,,,,,,,,,
Ancient Apache,65cb5699dc319c3e4664267c,1,895125.0,0.5,0.45,90,0,True,Ancient Apache,65cb5699dc319c3e46642679,2,0,341000.0,0.0,Hashboard,61b3606767433d2dc58913a9,1300,0,,,,,,,,,,,,,,
Ancient Apache,65cb5699dc319c3e4664269c,5,42503055.0,5.47,22.0,4251,0,True,Ancient Apache,65cb5699dc319c3e46642694,2,4,16191630.0,3.55,Hashboard,6196289f67433d2dc53c0c5d,1,4,,,,,,,,,,,,,,
Ancient Apache,65cb5699dc319c3e4664268c,3,6168225.0,2.18,3.5,617,0,True,Ancient Apache,65cb5699dc319c3e46642684,2,2,2349795.0,1.2,Hashboard,61b35e3767433d2dc57f86a2,8,2,,,,,,,,,,,,,,
Ancient Apache,65cb5699dc319c3e46642684,2,2349795.0,1.2,1.18,235,0,True,Ancient Apache,65cb5699dc319c3e4664267c,2,1,895125.0,0.5,Hashboard,6319f840a8ce530569ef82b7,72,1,,,,,,,,,,,,,,
Ancient Apache,65cb5699dc319c3e46642694,4,16191630.0,3.55,9.0,1620,0,True,Ancient Apache,65cb5699dc319c3e4664268c,2,3,6168225.0,2.18,Hashboard,6319fc56a8ce530569024d79,2,3,,,,,,,,,,,,,,
Ancient Icecraft,65855965430203bab2b75b3f,5,2061465.0,5.47,10.0,207,0,False,Ancient Icecraft,65855965430203bab2b75b37,2,4,785295.0,3.55,Wire,6196281467433d2dc53872b3,1,4,,,,,,,,,,,,,,
Ancient Icecraft,65855965430203bab2b75b27,2,113925.0,1.2,0.13,12,0,False,Ancient Icecraft,65855965430203bab2b75b1f,2,1,43365.0,0.5,Wire,6319f81fa8ce530569eee9dd,8,1,,,,,,,,,,,,,,
Ancient Icecraft,65855965430203bab2b75b2f,3,299145.0,2.18,0.74,30,0,False,Ancient Icecraft,65855965430203bab2b75b27,2,2,113925.0,1.2,Wire,61b35dcd67433d2dc57daca3,2,2,,,,,,,,,,,,,,
Ancient Icecraft,65855965430203bab2b75b37,4,785295.0,3.55,7.0,79,0,False,Ancient Icecraft,65855965430203bab2b75b2f,2,3,299145.0,2.18,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Ancient Maori,65cb57f9dc319c3e4664283e,5,378647640.0,16.32,193.0,37865,0,True,Ancient Maori,65cb57f9dc319c3e46642836,2,4,144246690.0,10.95,Wire,6196281467433d2dc53872b3,19,4,,,,,,,,,,,,,,
Ancient Maori,65cb57f9dc319c3e46642836,4,144246690.0,10.95,74.0,14425,0,True,Ancient Maori,65cb57f9dc319c3e4664282e,2,3,54951120.0,7.1,Wire,6319f969a8ce530569f4b3e8,20,3,,,,,,,,,,,,,,
Ancient Maori,65cb57f9dc319c3e4664282e,3,54951120.0,7.1,28.0,5496,0,True,Ancient Maori,65cb57f9dc319c3e46642826,2,2,20933745.0,4.36,Wire,61b35dcd67433d2dc57daca3,85,2,,,,,,,,,,,,,,
Ancient Maori,65cb57f9dc319c3e46642826,2,20933745.0,4.36,11.0,2094,0,True,Ancient Maori,65cb57f9dc319c3e4664281e,2,1,7974750.0,2.4,Wire,6319f81fa8ce530569eee9dd,655,1,,,,,,,,,,,,,,
AncLA,64cce7124d833d6301df5325,1,1900500.0,3.22,0.97,191,0,True,AncLA,64cce7124d833d6301df5322,2,0,724000.0,2.0,Fan,61b35fea67433d2dc586f7fe,2800,0,,,,,,,,,,,,,,
AncLA,64cce7124d833d6301df532d,2,4988865.0,4.91,2.55,499,0,True,AncLA,64cce7124d833d6301df5325,2,1,1900500.0,3.22,Fan,6319f7baa8ce530569ed16b9,160,1,,,,,,,,,,,,,,
AncLA,64cce7124d833d6301df533d,4,34376580.0,7.67,18.0,3438,0,True,AncLA,64cce7124d833d6301df5335,2,3,13095810.0,6.13,Fan,6319f918a8ce530569f33dd5,5,3,,,,,,,,,,,,,,
AncLA,64cce7124d833d6301df5335,3,13095810.0,6.13,7.0,1310,0,True,AncLA,64cce7124d833d6301df532d,2,2,4988865.0,4.91,Fan,61b35dac67433d2dc57d1156,19,2,,,,,,,,,,,,,,
AncLA,64cce7124d833d6301df5345,5,90238575.0,11.5,47.0,9024,0,True,AncLA,64cce7124d833d6301df533d,2,4,34376580.0,7.67,Fan,6196269b67433d2dc52e0130,17,4,,,,,,,,,,,,,,
Anti–Phaze,631f78558238ed283a232e04,5,15581685.0,1.91,10.0,1559,0,False,Anti–Phaze,631f78548238ed283a232df7,2,4,5935860.0,1.82,Wire,6196281467433d2dc53872b3,1,4,,,,,,,,,,,,,,
Anti–Phaze,631f78538238ed283a232dea,3,2261280.0,1.74,1.17,227,0,False,Anti–Phaze,631f78528238ed283a232ddd,2,2,861420.0,1.65,Wire,61b35dcd67433d2dc57daca3,3,2,,,,,,,,,,,,,,
Anti–Phaze,631f78548238ed283a232df7,4,5935860.0,1.82,7.0,594,0,False,Anti–Phaze,631f78538238ed283a232dea,2,3,2261280.0,1.74,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Anubis,631f7a338238ed283a23440e,4,2137485.0,0.3,7.0,214,0,True,Anubis,631f7a318238ed283a234401,2,3,814275.0,0.29,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Anubis,631f7a2f8238ed283a2343e7,1,118125.0,0.26,0.06,12,0,True,Anubis,62553e7542a0cd1b7dd7e403,2,0,45000.0,0.25,Wire,61b3604967433d2dc58893b0,180,0,,,,,,,,,,,,,,
Anubis,631f7a318238ed283a234401,3,814275.0,0.29,0.74,82,0,True,Anubis,631f7a308238ed283a2343f4,2,2,310170.0,0.28,Wire,61b35dcd67433d2dc57daca3,2,2,,,,,,,,,,,,,,
Apollo Miner,6437cd9ce3a75846582178e7,3,2659020.0,2.08,1.38,266,0,True,Apollo Miner,6437cd9be3a75846582178d9,2,2,1012935.0,1.66,Wire,61b35dcd67433d2dc57daca3,4,2,,,,,,,,,,,,,,
Apollo Miner,6437cd9de3a75846582178f5,4,6979980.0,2.6,7.0,698,0,True,Apollo Miner,6437cd9ce3a75846582178e7,2,3,2659020.0,2.08,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Apollo Miner,6437cd9be3a75846582178d9,2,1012935.0,1.66,0.53,102,0,True,Apollo Miner,6437cd9ae3a75846582178cb,2,1,385875.0,0.55,Wire,6319f81fa8ce530569eee9dd,32,1,,,,,,,,,,,,,,
Apollo Miner,6437cd9ee3a7584658217903,5,18322500.0,3.9,10.0,1833,0,True,Apollo Miner,6437cd9de3a75846582178f5,2,4,6979980.0,2.6,Wire,6196281467433d2dc53872b3,1,4,,,,,,,,,,,,,,
Aquarius,67a3d77d79efd774f15e18a4,1,2630000.0,2.5,1.7,263,0,True,Aquarius,67a3d77d79efd774f15e18a1,2,0,1000000.0,1.0,Wire,61b3604967433d2dc58893b0,4800,0,,,,,,,,,,,,,,
Aquarius,67a3d77d79efd774f15e18bc,5,130000000.0,17.0,80.0,13000,0,True,Aquarius,67a3d77d79efd774f15e18b6,2,4,48000000.0,11.0,Wire,6196281467433d2dc53872b3,8,4,,,,,,,,,,,,,,
Arcadester,663f2d8e190d5e34263ae83d,2,19431615.0,8.72,8.0,1944,0,False,Arcadester,663f2d8e190d5e34263ae835,2,1,7402500.0,4.8,Hashboard,6319f840a8ce530569ef82b7,480,1,,,,,,,,,,,,,,
Arcane Prism,6936c972b13b27427b9f3765,4,37000000.0,20.0,8.0,3700,0,True,Arcane Prism,6936c972b13b27427b9f375f,2,3,13800000.0,12.0,Fan,6319f918a8ce530569f33dd5,2,3,,,,,,,,,,,,,,
Arcane Prism,6936c972b13b27427b9f376b,5,100000000.0,42.0,21.0,10000,0,True,Arcane Prism,6936c972b13b27427b9f3765,2,4,37000000.0,20.0,Fan,6196269b67433d2dc52e0130,8,4,,,,,,,,,,,,,,
Arcane Prism,6936c972b13b27427b9f3759,2,5250000.0,6.0,1.1,525,0,True,Arcane Prism,6936c972b13b27427b9f3753,2,1,2000000.0,2.5,Fan,6319f7baa8ce530569ed16b9,69,1,,,,,,,,,,,,,,
Aries,67a3d6d879efd774f15e17fc,1,1710000.0,0.75,0.87,171,0,True,Aries,67a3d6d879efd774f15e17f9,2,0,650000.0,0.0,Fan,61b35fea67433d2dc586f7fe,2500,0,,,,,,,,,,,,,,
Armageddon,631f78cf8238ed283a2333a7,1,91875.0,0.79,0.05,10,0,True,Armageddon,618d1dda8f5ef2744b7d2380,2,0,35000.0,0.75,Wire,61b3604967433d2dc58893b0,150,0,,,,,,,,,,,,,,
Armageddon,631f78d28238ed283a2333ce,4,1662045.0,0.91,7.0,167,0,True,Armageddon,631f78d18238ed283a2333c1,2,3,633150.0,0.87,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Armed&Dangerous,693aab08b13b27427ba79647,1,50000000.0,14.0,3.5,5000,0,False,Armed&Dangerous,693aab08b13b27427ba79644,2,0,22000000.0,7.0,Wire,61b3604967433d2dc58893b0,9900,0,,,,,,,,,,,,,,
Armed&Dangerous,693aab08b13b27427ba7964d,2,100000000.0,22.0,8.5,10000,0,False,Armed&Dangerous,693aab08b13b27427ba79647,2,1,50000000.0,14.0,Wire,6319f81fa8ce530569eee9dd,510,1,,,,,,,,,,,,,,
Armed&Dangerous,693aab08b13b27427ba79653,3,250000000.0,30.0,16.5,25000,0,False,Armed&Dangerous,693aab08b13b27427ba7964d,2,2,100000000.0,22.0,Wire,61b35dcd67433d2dc57daca3,49,2,,,,,,,,,,,,,,
Armored Wagon Train,6628f6290461cca22c8bfbb3,1,787500.0,0.5,0.4,79,0,True,Armored Wagon Train,6628f6290461cca22c8bfbb0,2,0,300000.0,0.0,Wire,61b3604967433d2dc58893b0,1200,0,,,,,,,,,,,,,,
Armored Wagon Train,6628f6290461cca22c8bfbcb,4,14244615.0,3.55,8.0,1425,0,True,Armored Wagon Train,6628f6290461cca22c8bfbc3,2,3,5426505.0,2.18,Wire,6319f969a8ce530569f4b3e8,2,3,,,,,,,,,,,,,,
Armored Wagon Train,6628f6290461cca22c8bfbbb,2,2067240.0,1.2,1.05,207,0,True,Armored Wagon Train,6628f6290461cca22c8bfbb3,2,1,787500.0,0.5,Wire,6319f81fa8ce530569eee9dd,65,1,,,,,,,,,,,,,,
Armored Wagon Train,6628f6290461cca22c8bfbd3,5,37392180.0,5.47,19.0,3740,0,True,Armored Wagon Train,6628f6290461cca22c8bfbcb,2,4,14244615.0,3.55,Wire,6196281467433d2dc53872b3,2,4,,,,,,,,,,,,,,
Armored Wagon Train,6628f6290461cca22c8bfbc3,3,5426505.0,2.18,2.76,543,0,True,Armored Wagon Train,6628f6290461cca22c8bfbbb,2,2,2067240.0,1.2,Wire,61b35dcd67433d2dc57daca3,8,2,,,,,,,,,,,,,,
ASICbit,64f5d71e9e4d628640892a23,4,114450.0,0.65,7.0,12,0,False,ASICbit,64f5d71e9e4d628640892a1b,2,3,43575.0,0.41,Hashboard,6319fc56a8ce530569024d79,2,3,,,,,,,,,,,,,,
ASICbit,64f5d71e9e4d628640892a13,2,16590.0,0.2,0.13,2,0,False,ASICbit,64f5d71e9e4d628640892a0b,2,1,6300.0,0.08,Hashboard,6319f840a8ce530569ef82b7,8,1,,,,,,,,,,,,,,
